fname,res_type,ptype,method,res
poland_czestochowa_2020_polnoc.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_polnoc.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_rakow.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_standard,UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,stable priceable
poland_czestochowa_2020_srodmiescie.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,exhaustive,cardinal_times_cost,UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_stare-miasto.pb,non exhaustive,cardinal_times_cost,UGREEDY,priceable
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_stradom.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_standard,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_standard,UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_times_cost,MES,not exhaustive
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_times_cost,MES_INC,not exhaustive
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_times_cost,MES,stable priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_times_cost,MES_INC,stable priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_times_cost,MES_INC_UGREEDY,not priceable
poland_czestochowa_2020_trzech-wieszczow.pb,non exhaustive,cardinal_times_cost,UGREEDY,not priceable
poland_czestochowa_2020_tysiaclecie.pb,exhaustive,cardinal_standard,MES,not exhaustive
poland_czestochowa_2020_tysiaclecie.pb,exhaustive,cardinal_standard,MES_INC,not exhaustive
poland_czestochowa_2020_tysiaclecie.pb,exhaustive,cardinal_standard,MES_INC_UGREEDY,priceable
poland_czestochowa_2020_tysiaclecie.pb,exhaustive,cardinal_standard,UGREEDY,priceable
poland_czestochowa_2020_tysiaclecie.pb,non exhaustive,cardinal_standard,MES,stable priceable
poland_czestochowa_2020_tysiaclecie.pb,non exhaustive,cardinal_standard,MES_INC,stable priceable
